"","Sample_1S10","Sample_1S11","Sample_1S12","Sample_1S13","Sample_1S14","Sample_1S15","Sample_1S16","Sample_1S17","Sample_1S18","Sample_1S19","Sample_1S1","Sample_1S20","Sample_1S21","Sample_1S22","Sample_1S23","Sample_1S24","Sample_1S25","Sample_1S2","Sample_1S3","Sample_1S4","Sample_1S5","Sample_1S6","Sample_1S7","Sample_1S8","Sample_1S9","Sample_2S10","Sample_2S11","Sample_2S12","Sample_2S13","Sample_2S14","Sample_2S15","Sample_2S16","Sample_2S17","Sample_2S18","Sample_2S19","Sample_2S1","Sample_2S20","Sample_2S21","Sample_2S22","Sample_2S23","Sample_2S24","Sample_2S25","Sample_2S2","Sample_2S3","Sample_2S4","Sample_2S5","Sample_2S6","Sample_2S7","Sample_2S8","Sample_2S9","Sample_3S10","Sample_3S11","Sample_3S12","Sample_3S13","Sample_3S14","Sample_3S15","Sample_3S16","Sample_3S17","Sample_3S18","Sample_3S19","Sample_3S1","Sample_3S20","Sample_3S21","Sample_3S22","Sample_3S23","Sample_3S24","Sample_3S25","Sample_3S2","Sample_3S3","Sample_3S4","Sample_3S5","Sample_3S6","Sample_3S7","Sample_3S8","Sample_3S9","Sample_4S10","Sample_4S11","Sample_4S12","Sample_4S13","Sample_4S14","Sample_4S15","Sample_4S16","Sample_4S17","Sample_4S18","Sample_4S19","Sample_4S1","Sample_4S20","Sample_4S21","Sample_4S22","Sample_4S23","Sample_4S24","Sample_4S25","Sample_4S2","Sample_4S3","Sample_4S4","Sample_4S5","Sample_4S6","Sample_4S7","Sample_4S9","Sample_N10","Sample_N11","Sample_N12","Sample_N13","Sample_N14","Sample_N15","Sample_N16","Sample_N17","Sample_N18","Sample_N19","Sample_N1","Sample_N20","Sample_N21","Sample_N22","Sample_N23","Sample_N24","Sample_N25","Sample_N26","Sample_N27","Sample_N28","Sample_N29","Sample_N2","Sample_N30","Sample_N31","Sample_N32","Sample_N33","Sample_N34","Sample_N35","Sample_N36","Sample_N37","Sample_N38","Sample_N39","Sample_N3","Sample_N40","Sample_N41","Sample_N42","Sample_N43","Sample_N44","Sample_N45","Sample_N46","Sample_N47","Sample_N48","Sample_N49","Sample_N4","Sample_N50","Sample_N5","Sample_N6","Sample_N7","Sample_N8","Sample_N9","Sample_Pan01","Sample_Pan02","Sample_Pan03","Sample_Pan04","Sample_Pan05","Sample_Pan06","Sample_PC10","Sample_PC11","Sample_PC12","Sample_PC13","Sample_PC14","Sample_PC15","Sample_PC16","Sample_PC17","Sample_PC18","Sample_PC19","Sample_PC1","Sample_PC20","Sample_PC21","Sample_PC22","Sample_PC23","Sample_PC24","Sample_PC25","Sample_PC26","Sample_PC27","Sample_PC28","Sample_PC29","Sample_PC2","Sample_PC30","Sample_PC31","Sample_PC32","Sample_PC33","Sample_PC34","Sample_PC35","Sample_PC36","Sample_PC3","Sample_PC4","Sample_PC5","Sample_PC6","Sample_PC7","Sample_PC8","Sample_PC9"
"ENST00000591702.1|AL669831.5-218|1873",1,0,1,4,1,0,0,0,1,0,0,0,1,2,1,0,0,1,1,1,0,1,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,3,3,1,1,1,0,0,0,1,1,0,2,1,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,2,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"ENST00000609207.1|AL645608.1-201|4152",0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,3,1,2,4,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,2,3,2,2,2,3,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,2,0,0,1,1,0,0,0,3,0,0,1,1,3,0,1,0,2,0,0,0,0,3,1,2,1,0,0
"ENST00000442292.2|AL645608.9-201|1081",1,4,2,1,1,1,2,2,0,1,0,1,0,1,0,0,4,1,1,0,6,5,1,0,1,0,0,2,0,0,0,1,1,2,0,0,2,1,0,1,1,0,3,1,0,2,3,0,0,0,2,0,1,4,0,1,0,2,2,0,0,1,1,0,0,4,2,1,0,4,5,2,1,3,1,1,0,0,2,0,1,2,1,0,0,0,1,1,1,0,1,1,3,0,3,2,1,0,0,1,0,2,3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,1,0,0,5,2,2,1,0,4,2,0,1,5,1,0,3,1,3,0,2,0,1,1,2,1,1,0,0,0,0,0,1,1,1,1,13,12,2
"ENST00000607307.1|AL391244.3-201|1523",0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENST00000366221.3|AL645728.1-201|2101",0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,6,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,5,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENST00000598846.1|AL031282.2-201|34953",5,6,11,0,3,6,3,7,2,6,13,6,2,4,11,2,5,20,6,6,6,8,6,13,5,19,13,13,9,7,0,3,2,3,11,9,6,7,5,7,1,15,13,12,7,9,8,12,14,8,33,16,66,7,3,5,4,3,7,0,25,5,6,0,5,5,7,7,27,12,3,3,9,22,3,22,10,12,2,3,3,10,3,12,8,11,2,7,2,9,6,0,9,28,10,11,11,3,13,5,9,8,6,4,7,11,12,13,11,22,6,5,8,7,9,4,2,10,2,7,8,1,0,9,4,3,6,1,0,4,5,9,4,6,8,1,6,0,3,4,3,8,9,10,23,10,8,8,7,1,2,0,1,1,0,6,4,7,11,6,12,12,13,9,6,13,10,12,7,2,8,1,4,7,3,3,7,4,4,6,3,4,0,3,13,23,27,15,13,9,6
"ENST00000606533.1|AL590822.2-201|4196",0,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,2,2,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,2,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,2,0,3,0,1,2,0,2,0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0
"ENST00000638002.1|AC242022.1-201|2871",1,0,1,0,0,1,2,1,3,1,0,1,0,0,1,0,1,0,0,5,1,0,0,2,0,0,1,1,1,1,5,1,0,0,1,2,0,0,2,0,0,0,0,3,2,0,0,1,0,6,12,1,27,0,1,1,0,0,0,0,10,0,1,0,2,0,0,0,8,11,2,0,0,7,0,4,0,1,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,3,0,3,1,2,0,2,0,1,0,0,2,0,0,13,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,3,1,0,0,0,1,3,1,0,5,0,0,0,1,1,0,0,0,1,10,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"ENST00000443034.1|AL136528.1-201|9835",0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,1,7,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ENST00000412674.1|LINC01346-201|14646",17,14,11,5,1,4,2,10,8,7,24,2,5,0,5,2,18,27,28,6,17,9,15,31,18,33,24,42,7,3,8,6,3,6,3,17,9,6,4,9,1,27,23,18,7,19,13,22,9,11,9,7,8,8,9,8,7,5,6,10,18,5,5,3,9,7,10,37,18,4,12,18,13,28,25,36,38,16,5,4,8,0,2,6,10,27,6,4,2,1,3,8,24,28,9,2,16,38,21,6,12,19,5,14,15,17,15,18,14,13,7,9,19,21,26,7,7,4,2,5,24,3,4,5,5,4,4,4,3,2,4,13,5,7,4,3,9,11,3,7,4,34,21,12,9,28,8,16,12,0,0,2,1,4,1,14,11,12,27,38,66,44,33,13,21,34,19,14,11,15,5,4,8,6,10,6,8,9,5,6,5,1,3,4,13,38,60,28,17,14,16
