,RNA Isolation batch,library prepration day,gel cut size selection
Sample_1S1,2,22,7
Sample_1S2,2,22,8
Sample_1S3,2,22,1
Sample_2S1,2,22,2
Sample_2S2,2,22,3
Sample_2S3,2,22,4
Sample_3S1,2,22,5
Sample_3S2,2,22,6
Sample_3S3,2,22,7
Sample_4S1,2,22,8
Sample_4S2,2,22,1
Sample_4S3,2,22,2
Sample_PC1,2,22,3
Sample_PC2,2,22,4
Sample_PC3,2,22,5
Sample_PC4,2,22,6
Sample_PC5,2,22,7
Sample_PC6,2,22,8
Sample_N1,2,22,1
Sample_N2,2,22,2
Sample_N3,2,22,3
Sample_N4,2,22,4
Sample_N5,2,22,5
Sample_N6,2,22,6
Sample_1S4,6,22,7
Sample_1S5,6,22,8
Sample_2S4,6,22,2
Sample_2S5,6,22,3
Sample_2S6,6,22,4
Sample_3S4,6,22,5
Sample_3S5,6,22,6
Sample_3S6,6,22,7
Sample_4S4,6,22,8
Sample_N7,6,22,1
Sample_N8,6,22,2
Sample_N9,6,22,3
Sample_N10,6,22,4
Sample_N11,6,22,5
Sample_N12,6,22,6
Sample_1S9,1,23,1
Sample_2S7,1,23,2
Sample_2S8,1,23,3
Sample_2S9,1,23,4
Sample_3S7,1,23,5
Sample_3S8,1,23,6
Sample_4S9,1,23,2
Sample_PC13,1,23,3
Sample_PC14,1,23,4
Sample_PC15,1,23,5
Sample_PC16,1,23,6
Sample_N13,1,23,1
Sample_N14,1,23,2
Sample_N15,1,23,3
Sample_N16,1,23,4
Sample_N17,1,23,5
Sample_N18,1,23,6
Sample_N22,3,23,4
Sample_N23,3,23,5
Sample_N24,3,23,6
Sample_1S6,6,23,1
Sample_4S5,6,23,1
Sample_4S6,6,23,2
Sample_PC7,6,23,3
Sample_PC8,6,23,4
Sample_PC9,6,23,5
Sample_PC10,6,23,6
Sample_1S7,1,24,1
Sample_1S8,1,24,2
Sample_3S9,1,24,1
Sample_4S7,1,24,2
Sample_PC17,1,24,1
Sample_N49,1,24,2
Sample_1S10,3,24,1
Sample_1S11,3,24,2
Sample_1S25,3,24,10
Sample_2S10,3,24,4
Sample_2S25,3,24,7
Sample_2S11,3,24,5
Sample_2S12,3,24,6
Sample_3S10,3,24,8
Sample_3S11,3,24,7
Sample_3S12,3,24,9
Sample_4S10,3,24,10
Sample_4S11,3,24,3
Sample_4S12,3,24,4
Sample_PC18,3,24,5
Sample_PC19,3,24,6
Sample_PC20,3,24,8
Sample_N19,3,24,3
Sample_N50,3,24,9
Sample_3S18,5,24,12
Sample_3S25,5,24,12
Sample_4S16,5,24,11
Sample_4S25,5,24,11
Sample_PC11,6,24,1
Sample_PC12,6,24,2
Sample_1S20,7,24,12
Sample_4S19,7,24,12
Sample_1S22,8,24,4
Sample_1S24,8,24,11
Sample_2S22,8,24,10
Sample_2S23,8,24,9
Sample_2S24,8,24,8
Sample_3S22,8,24,6
Sample_3S23,8,24,5
Sample_3S24,8,24,4
Sample_4S22,8,24,3
Sample_4S23,8,24,11
Sample_4S24,8,24,10
Sample_PC36,8,24,9
Sample_N43,8,24,11
Sample_N45,8,24,9
Sample_N46,8,24,10
Sample_N47,8,24,6
Sample_N48,8,24,5
Sample_TB#549_Pan01,9,24,8
Sample_TB#650_Pan02,9,24,6
Sample_TB#670_Pan03,9,24,5
Sample_TB#535_Pan04,9,24,4
Sample_TB#01.1_Pan05,9,24,3
Sample_S021_Pan06,9,24,12
Sample_1S12,3,25,7
Sample_N20,3,25,8
Sample_2S13,4,25,7
Sample_2S14,4,25,8
Sample_4S15,4,25,7
Sample_PC21,4,25,8
Sample_N26,4,25,7
Sample_N27,4,25,8
Sample_1S18,5,25,6
Sample_2S16,5,25,5
Sample_2S17,5,25,4
Sample_2S18,5,25,3
Sample_3S16,5,25,2
Sample_3S17,5,25,1
Sample_4S17,5,25,6
Sample_4S18,5,25,5
Sample_PC27,5,25,4
Sample_PC28,5,25,3
Sample_PC29,5,25,2
Sample_PC30,5,25,1
Sample_N32,5,25,7
Sample_N34,5,25,8
Sample_1S19,7,25,1
Sample_2S19,7,25,6
Sample_2S20,7,25,5
Sample_2S21,7,25,4
Sample_3S19,7,25,3
Sample_3S20,7,25,2
Sample_3S21,7,25,1
Sample_4S21,7,25,6
Sample_PC31,7,25,5
Sample_PC32,7,25,4
Sample_PC33,7,25,3
Sample_PC34,7,25,2
Sample_PC35,7,25,1
Sample_N38,7,25,6
Sample_N39,7,25,5
Sample_N40,7,25,4
Sample_N41,7,25,3
Sample_N42,7,25,2
Sample_N21,3,26,3
Sample_1S13,4,26,2
Sample_1S14,4,26,6
Sample_1S15,4,26,5
Sample_2S15,4,26,3
Sample_3S13,4,26,1
Sample_3S14,4,26,2
Sample_3S15,4,26,6
Sample_4S13,4,26,4
Sample_4S14,4,26,5
Sample_PC22,4,26,6
Sample_PC23,4,26,1
Sample_PC24,4,26,3
Sample_PC25,4,26,2
Sample_PC26,4,26,4
Sample_N25,4,26,5
Sample_N28,4,26,4
Sample_N29,4,26,3
Sample_N30,4,26,1
Sample_1S16,5,26,4
Sample_1S17,5,26,3
Sample_N31,5,26,5
Sample_N33,5,26,2
Sample_N35,5,26,1
Sample_N36,5,26,6
Sample_1S21,7,26,5
Sample_4S20,7,26,2
Sample_N37,7,26,1
Sample_1S23,8,26,6
Sample_N44,8,26,4
