sample_id,label
Sample_1S3,Colorectal Cancer
Sample_1S6,Colorectal Cancer
Sample_1S9,Colorectal Cancer
Sample_1S12,Colorectal Cancer
Sample_1S15,Colorectal Cancer
Sample_1S18,Colorectal Cancer
Sample_1S21,Colorectal Cancer
Sample_1S24,Colorectal Cancer
Sample_4S2,Colorectal Cancer
Sample_4S5,Colorectal Cancer
Sample_4S11,Colorectal Cancer
Sample_4S14,Colorectal Cancer
Sample_4S17,Colorectal Cancer
Sample_4S20,Colorectal Cancer
Sample_4S23,Colorectal Cancer
Sample_N1,Healthy Control
Sample_N7,Healthy Control
Sample_N13,Healthy Control
Sample_N19,Healthy Control
Sample_N25,Healthy Control
Sample_N31,Healthy Control
Sample_N37,Healthy Control
Sample_N43,Healthy Control
Sample_2S1,Colorectal Cancer
Sample_2S4,Colorectal Cancer
Sample_2S7,Colorectal Cancer
Sample_2S10,Colorectal Cancer
Sample_2S13,Colorectal Cancer
Sample_2S16,Colorectal Cancer
Sample_2S19,Colorectal Cancer
Sample_2S22,Colorectal Cancer
Sample_4S3,Colorectal Cancer
Sample_4S6,Colorectal Cancer
Sample_4S9,Colorectal Cancer
Sample_4S12,Colorectal Cancer
Sample_4S15,Colorectal Cancer
Sample_4S18,Colorectal Cancer
Sample_4S21,Colorectal Cancer
Sample_4S24,Colorectal Cancer
Sample_N2,Healthy Control
Sample_N8,Healthy Control
Sample_N14,Healthy Control
Sample_N20,Healthy Control
Sample_N26,Healthy Control
Sample_N32,Healthy Control
Sample_N38,Healthy Control
Sample_N44,Healthy Control
Sample_2S2,Colorectal Cancer
Sample_2S5,Colorectal Cancer
Sample_2S8,Colorectal Cancer
Sample_2S11,Colorectal Cancer
Sample_2S14,Colorectal Cancer
Sample_2S17,Colorectal Cancer
Sample_2S20,Colorectal Cancer
Sample_2S23,Colorectal Cancer
Sample_N3,Healthy Control
Sample_N9,Healthy Control
Sample_N15,Healthy Control
Sample_N21,Healthy Control
Sample_N27,Healthy Control
Sample_N33,Healthy Control
Sample_N39,Healthy Control
Sample_N45,Healthy Control
Sample_PC1,Prostate Cancer
Sample_PC7,Prostate Cancer
Sample_PC13,Prostate Cancer
Sample_PC18,Prostate Cancer
Sample_PC21,Prostate Cancer
Sample_PC27,Prostate Cancer
Sample_PC31,Prostate Cancer
Sample_PC36,Prostate Cancer
Sample_2S3,Colorectal Cancer
Sample_2S6,Colorectal Cancer
Sample_2S9,Colorectal Cancer
Sample_2S12,Colorectal Cancer
Sample_2S15,Colorectal Cancer
Sample_2S18,Colorectal Cancer
Sample_2S21,Colorectal Cancer
Sample_2S24,Colorectal Cancer
Sample_N4,Healthy Control
Sample_N10,Healthy Control
Sample_N16,Healthy Control
Sample_N22,Healthy Control
Sample_N28,Healthy Control
Sample_N34,Healthy Control
Sample_N40,Healthy Control
Sample_N46,Healthy Control
Sample_Pan01,Pancreatic Cancer
Sample_PC2,Prostate Cancer
Sample_PC8,Prostate Cancer
Sample_PC14,Prostate Cancer
Sample_PC19,Prostate Cancer
Sample_PC22,Prostate Cancer
Sample_PC28,Prostate Cancer
Sample_PC32,Prostate Cancer
Sample_3S1,Colorectal Cancer
Sample_3S4,Colorectal Cancer
Sample_3S7,Colorectal Cancer
Sample_3S10,Colorectal Cancer
Sample_3S13,Colorectal Cancer
Sample_3S16,Colorectal Cancer
Sample_3S19,Colorectal Cancer
Sample_3S22,Colorectal Cancer
Sample_N5,Healthy Control
Sample_N11,Healthy Control
Sample_N17,Healthy Control
Sample_N23,Healthy Control
Sample_N29,Healthy Control
Sample_N35,Healthy Control
Sample_N41,Healthy Control
Sample_N47,Healthy Control
Sample_Pan02,Pancreatic Cancer
Sample_PC3,Prostate Cancer
Sample_PC9,Prostate Cancer
Sample_PC15,Prostate Cancer
Sample_PC20,Prostate Cancer
Sample_PC23,Prostate Cancer
Sample_PC29,Prostate Cancer
Sample_PC33,Prostate Cancer
Sample_2S25,Colorectal Cancer
Sample_3S2,Colorectal Cancer
Sample_3S5,Colorectal Cancer
Sample_3S8,Colorectal Cancer
Sample_3S11,Colorectal Cancer
Sample_3S14,Colorectal Cancer
Sample_3S17,Colorectal Cancer
Sample_3S20,Colorectal Cancer
Sample_3S23,Colorectal Cancer
Sample_N6,Healthy Control
Sample_N12,Healthy Control
Sample_N18,Healthy Control
Sample_N24,Healthy Control
Sample_N30,Healthy Control
Sample_N36,Healthy Control
Sample_N42,Healthy Control
Sample_N48,Healthy Control
Sample_Pan03,Pancreatic Cancer
Sample_PC4,Prostate Cancer
Sample_PC10,Prostate Cancer
Sample_PC16,Prostate Cancer
Sample_PC24,Prostate Cancer
Sample_PC30,Prostate Cancer
Sample_PC34,Prostate Cancer
Sample_1S1,Colorectal Cancer
Sample_1S4,Colorectal Cancer
Sample_1S7,Colorectal Cancer
Sample_1S10,Colorectal Cancer
Sample_1S13,Colorectal Cancer
Sample_1S16,Colorectal Cancer
Sample_1S19,Colorectal Cancer
Sample_1S22,Colorectal Cancer
Sample_3S3,Colorectal Cancer
Sample_3S6,Colorectal Cancer
Sample_3S9,Colorectal Cancer
Sample_3S12,Colorectal Cancer
Sample_3S15,Colorectal Cancer
Sample_3S18,Colorectal Cancer
Sample_3S21,Colorectal Cancer
Sample_3S24,Colorectal Cancer
Sample_3S25,Colorectal Cancer
Sample_N50,Healthy Control
Sample_Pan04,Pancreatic Cancer
Sample_PC5,Prostate Cancer
Sample_PC11,Prostate Cancer
Sample_PC17,Prostate Cancer
Sample_PC25,Prostate Cancer
Sample_PC35,Prostate Cancer
Sample_1S2,Colorectal Cancer
Sample_1S5,Colorectal Cancer
Sample_1S8,Colorectal Cancer
Sample_1S11,Colorectal Cancer
Sample_1S14,Colorectal Cancer
Sample_1S17,Colorectal Cancer
Sample_1S20,Colorectal Cancer
Sample_1S23,Colorectal Cancer
Sample_1S25,Colorectal Cancer
Sample_4S1,Colorectal Cancer
Sample_4S4,Colorectal Cancer
Sample_4S7,Colorectal Cancer
Sample_4S10,Colorectal Cancer
Sample_4S13,Colorectal Cancer
Sample_4S16,Colorectal Cancer
Sample_4S19,Colorectal Cancer
Sample_4S22,Colorectal Cancer
Sample_4S25,Colorectal Cancer
Sample_N49,Healthy Control
Sample_Pan05,Pancreatic Cancer
Sample_Pan06,Pancreatic Cancer
Sample_PC6,Prostate Cancer
Sample_PC12,Prostate Cancer
Sample_PC26,Prostate Cancer
